Sample_base,Site,Time,NutDisp,OilType,Conc_pct,ASV,Domain,Phylum,Class,Order,Family,Genus,Abundance
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV1,Bacteria,Pseudomonadota,Alphaproteobacteria,Pelagibacterales,Clade I,Clade Ia,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Nitrincolaceae,Incertae Sedis,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV3,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halieaceae,Kineobactrum,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV5,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,SAR86 clade,Incertae Sedis,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV8,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Amylibacter,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV9,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Planktomarina,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV12,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Sulfitobacter,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV13,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV14,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV15,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV18,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV19,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,19
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV23,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,SAR86 clade,Incertae Sedis,0
RAW_0.1_ND,SERF,2WK,ND,RAW,0.1,bASV24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Incertae Sedis,0
